Survived,Sex,Fare,Embarked,FamilySize,AgeAndPclass
1,0,39.4,2,2,16.0
0,0,26.0,2,2,88.0
1,0,9.35,2,2,54.0
1,0,164.8667,2,3,45.0
1,1,26.55,2,1,51.0
1,0,19.2583,0,4,72.0
0,1,7.2292,0,1,84.0
0,1,14.1083,2,3,123.0
0,1,11.5,2,2,42.0
1,0,25.9292,2,1,48.0
0,0,69.55,2,11,84.0
0,1,13.0,2,1,48.0
1,0,13.0,2,1,84.0
1,0,13.8583,0,2,54.0
0,1,50.4958,2,1,31.0
0,1,9.5,2,1,84.0
1,1,11.1333,2,3,12.0
0,1,7.8958,2,1,78.0
1,0,52.5542,2,3,47.0
0,1,5.0,2,1,33.0
0,1,9.0,2,1,141.0
1,0,24.0,0,2,56.0
1,0,7.225,0,1,45.0
0,1,9.8458,2,1,60.0
0,1,7.8958,2,1,57.0
0,1,7.8958,2,1,84.0
1,0,83.1583,0,2,56.0
1,0,26.0,2,2,50.0
0,1,7.8958,2,1,99.0
0,0,10.5167,2,1,66.0
0,1,10.5,2,1,56.0
0,1,7.05,2,1,75.0
0,0,29.125,1,6,117.0
0,1,13.0,2,1,54.0
1,0,30.0,2,1,19.0
0,0,23.45,2,4,84.0
1,1,30.0,0,1,26.0
0,1,7.75,1,1,96.0
